commodity,from_id,to_id,flow
p0,p0,oft_steel12,2.612826707718816
p2,p2,t77,16.226147452804486
p2,t77,t148,16.226147452804486
p2,t148,oft_steel3,16.226147452804486
p3,t167,t147,7.971500251222846
p3,p3,t167,7.971500251222846
p3,t147,oft_steel2,7.971500251222846
p4,t84,t147,2.143549362818317
p4,p4,t84,2.143549362818317
p4,t147,oft_steel1,2.143549362818317
p5,p5,t80,17.37193608567489
p5,t148,oft_steel3,17.37193608567489
p5,t80,t148,17.37193608567489
p6,p6,oft_ship99,12.484851512319512
p7,p7,oft_steel1,13.140130365061802
p8,p8,oft_ship18,17.19977017825448
p9,p9,t163,10.131481275935233
p9,t147,oft_steel2,10.131481275935233
p9,t163,t147,10.131481275935233
p10,p10,t87,5.268199669052185
p10,t87,t147,5.268199669052185
p10,t147,oft_steel2,5.268199669052185
p11,t49,t94,12.167203885101795
p11,p11,oft_ship47,10.105981571546021
p11,p11,t49,12.167203885101795
p11,t94,oft_steel8,12.167203885101795
p12,p12,oft_ship52,12.33970220695262
p13,p13,oft_ship22,0.8144146482417667
p13,p13,oft_steel10,2.5752178347704016
p14,p14,t34,3.8569821552964534
p14,t34,t148,3.8569821552964534
p14,t148,oft_steel3,3.8569821552964534
p15,p15,oft_ship153,2.1586463908671343
p15,p15,oft_steel12,0.8850163599050305
p16,p16,oft_steel7,6.952255895280972
p17,p17,oft_steel1,2.409746586561719
p18,p18,oft_ship52,3.074903873110802
p19,p19,t80,21.83416465651519
p19,t80,t147,21.83416465651519
p19,t147,oft_steel1,21.83416465651519
p20,t147,oft_steel2,10.411510136011458
p20,p20,t163,10.411510136011458
p20,t163,t147,10.411510136011458
p21,p21,oft_ship99,7.734905754321101
p21,t106,t107,5.254207859927103
p21,t107,oft_steel11,5.254207859927103
p21,p21,t106,5.254207859927103
p22,t84,t147,3.178054692167745
p22,p22,t84,3.178054692167745
p22,t147,oft_steel2,3.178054692167745
p23,p23,oft_steel1,1.9999294608513978
p24,t173,oft_steel5,12.345089802741029
p24,t144,oft_steel4,9.02186931916879
p24,t147,oft_steel1,1.81891459318659
p24,t77,t144,9.02186931916879
p24,p24,t77,23.18587371509641
p24,t77,t147,1.81891459318659
p24,t77,t173,12.345089802741029
p25,p25,t165,1.5146604749071144
p25,t165,oft_steel4,1.5146604749071144
p26,p26,oft_ship74,13.09018613936414
p27,p27,oft_steel7,0.7817068192550929
p27,p27,oft_steel6,3.9938971845217868
p28,p28,oft_steel10,1.8189196297343215
p30,p30,oft_steel7,2.8385453618845817
p31,p31,oft_steel6,8.351192618219242
p32,p32,oft_steel12,2.674701833746668
p33,p33,oft_ship18,6.217178715984776
p34,p34,oft_steel7,1.772581726320384
p34,t80,t147,4.766149443389356
p34,t147,oft_steel2,4.766149443389356
p34,p34,t80,4.766149443389356
p35,p35,t62,1.2364798231500023
p35,t147,oft_steel2,1.2364798231500023
p35,t62,t147,1.2364798231500023
p36,t53,t148,7.905404278530522
p36,p36,oft_ship51,8.887685107527844
p36,t148,oft_steel3,7.905404278530522
p36,p36,t53,7.905404278530522
p37,p37,oft_steel11,2.4614732667860397
p38,p38,oft_steel10,3.32154366220842
p39,p39,oft_steel1,5.853688968934406
p40,p40,oft_ship52,4.957599128527944
p41,p41,oft_ship51,3.4342682020900277
p42,p42,oft_ship1,3.9240769235621547
p43,t163,t148,7.1061616893430255
p43,t148,oft_steel3,7.1061616893430255
p43,t147,oft_steel2,2.772878276665876
p43,t163,t147,2.772878276665876
p43,p43,t163,9.879039966008902
p44,t153,t147,1.3078877607957955
p44,t147,oft_steel2,1.3078877607957955
p44,p44,t153,1.3078877607957955
p45,p45,t18,21.781793072436034
p45,t18,t94,21.781793072436034
p45,t94,oft_steel8,4.80729459366712
p45,t94,oft_steel9,16.974498478768915
p46,p46,t168,2.8755277246969837
p46,t144,oft_steel4,1.8085600086651255
p46,t168,t147,1.0669677160318582
p46,t147,oft_steel2,1.0669677160318582
p46,t168,t144,1.8085600086651255
p47,p47,oft_ship99,6.348991507636132
p48,t87,t147,4.355522617227039
p48,p48,t87,4.355522617227039
p48,t147,oft_steel2,4.355522617227039
p49,p49,oft_steel1,3.266507667719961
pf0,pf0,oft_steel12,6.1725449013705145
