commodity,from_id,to_id,flow
p0,p0,oft_ship153,1.2442031941518172
p2,p2,oft_ship74,7.72673688228785
p3,p3,oft_ship158,3.7959525005823074
p4,p4,oft_ship78,1.020737791818246
p5,p5,oft_ship76,8.272350516988043
p6,p6,oft_ship99,5.945167386818815
p7,p7,oft_ship61,6.257204935743715
p8,t127,oft_f4,3.266420237823999
p8,p8,oft_ship18,4.9239465137257525
p8,p8,t18,3.266420237823999
p8,t18,t127,3.266420237823999
p9,p9,oft_ship154,4.824514893302491
p10,p10,oft_ship80,2.508666509072469
p11,t127,oft_f4,5.802094007334576
p11,t15,oft_f5,4.804184781545336
p11,t49,t15,4.804184781545336
p11,p11,t49,10.606278788879912
p11,t49,t127,5.802094007334576
p12,p12,oft_ship52,5.876048669977438
p13,p13,oft_ship22,1.6141107061962705
p14,p14,oft_ship33,1.8366581691887873
p15,p15,oft_ship153,1.4493632146534117
p16,p16,oft_ship65,3.3105980453718913
p17,p17,oft_ship61,1.1474983745531995
p18,p18,oft_ship52,1.4642399395765722
p19,p19,oft_ship76,10.397221265007232
p20,p20,oft_ship154,4.957861969529265
p21,p21,oft_ship99,6.185292197261049
p22,p22,oft_ship78,1.5133593772227356
p23,p23,oft_ship137,0.9523473623101893
p24,p24,oft_ship74,11.040892245284004
p25,p25,t165,0.7212668928129116
p25,t165,oft_ship156,0.7212668928129116
p26,p26,oft_ship74,6.2334219711257814
p27,p27,oft_ship65,2.274097144655657
p28,p28,oft_ship25,0.8661522046353912
p30,p30,oft_ship76,1.3516882675640864
p31,p31,oft_ship65,3.9767583896282104
p32,p32,oft_ship114,1.2736675398793655
p33,p33,t18,2.9605612933260836
p33,t18,t93,2.9605612933260836
p33,t93,oft_f6,2.9605612933260836
p34,p34,oft_ship76,3.1136815093855903
p35,p35,oft_ship60,0.5887999157857153
p36,p36,oft_ship51,7.996709231456364
p37,p37,oft_f8,1.1721301270409712
p38,p38,oft_ship25,1.5816874581944855
p39,p39,oft_ship65,2.787470937587812
p40,p40,oft_ship52,2.360761489775211
p41,p41,oft_ship51,1.6353658105190607
p42,p42,oft_ship1,1.8686080588391212
p43,p43,oft_ship157,4.704304745718525
p44,p44,t153,0.6228036956170454
p44,t153,oft_ship144,0.6228036956170454
p45,p45,t18,10.37228241544573
p45,t15,oft_f5,4.2643294636132385
p45,t18,t93,6.107952951832491
p45,t93,oft_f6,6.107952951832491
p45,t18,t15,4.2643294636132385
p46,p46,oft_ship159,1.3692989165223732
p47,p47,oft_ship99,3.023329289350539
p48,p48,oft_ship80,2.074058389155733
p49,p49,oft_ship61,1.55547984177141
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,oft_f9,10.73903002716147
pf5,pf5,t80,24.690179605482058
pf5,t80,t69,24.690179605482058
pf5,t69,oft_steel7,24.690179605482058
pf17,pf17,oft_steel3,104.93326332329876
pf17,pf17,oft_steel4,24.690179605482058
pf26,t67,t94,67.89799391507566
pf26,pf26,t67,67.89799391507566
pf26,t94,oft_steel8,33.94899695753783
pf26,t94,oft_steel9,33.94899695753783
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_f7,5.966127792867484
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf31,pf31,oft_f10,3.9376443432925394
pf31,pf31,oft_f12,3.9376443432925394
pf31,pf31,oft_f11,3.9376443432925394
pf37,pf37,oft_f8,4.793997665826513
pf39,pf39,oft_f3,12.290223253307015
pf39,pf39,oft_f2,12.290223253307015
pf44,t173,oft_steel5,24.690179605482058
pf44,pf44,oft_ship144,139.87561563939607
pf44,t153,t37,7.15935335144098
pf44,t153,t173,24.690179605482058
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,31.84953295692304
pf49,pf49,oft_steel1,104.93326332329876
pf49,pf49,oft_steel2,104.93326332329876
pf49,pf49,oft_f1,12.290223253307015
