commodity,from_id,to_id,flow
p0,p0,t162,2.612826707718816
p0,t162,t94,2.612826707718816
p0,t94,oft_steel9,2.612826707718816
p3,t167,t144,7.971500251222846
p3,t144,oft_steel4,7.971500251222846
p3,p3,t167,7.971500251222846
p4,t142,oft_f8,0.32659983391369884
p4,t84,t142,0.32659983391369884
p4,t144,oft_steel4,1.816949528904618
p4,p4,t84,2.143549362818317
p4,t84,t144,1.816949528904618
p5,t144,oft_steel4,1.0641688444749953
p5,p5,t80,6.63290605851342
p5,t80,t94,5.568737214038425
p5,t80,t144,1.0641688444749953
p5,p5,oft_f9,10.73903002716147
p5,t94,oft_steel9,5.568737214038425
p6,t106,t94,6.582838510602098
p6,t93,oft_f6,5.902013001717414
p6,p6,t106,12.484851512319512
p6,t106,t93,5.902013001717414
p6,t94,oft_steel9,6.582838510602098
p7,p7,oft_f1,5.518037676666235
p7,p7,oft_f3,7.6220926883955675
p8,t15,oft_f5,9.068514245158575
p8,t18,t15,9.068514245158575
p8,t18,t94,8.131255933095904
p8,p8,t18,17.19977017825448
p8,t94,oft_steel8,8.131255933095904
p9,p9,t163,10.131481275935233
p9,t173,oft_steel5,10.131481275935233
p9,t163,t173,10.131481275935233
p11,t49,t94,22.273185456647816
p11,p11,t49,22.273185456647816
p11,t94,oft_steel8,22.273185456647816
p13,p13,oft_f7,3.3896324830121682
p15,t162,t94,3.0436627507721647
p15,p15,t162,3.0436627507721647
p15,t94,oft_steel8,3.0436627507721647
p16,p16,oft_f11,1.0990989814079577
p16,p16,oft_f10,3.9376443432925394
p16,p16,oft_f12,1.9155125705804754
p17,p17,oft_steel4,2.409746586561719
p20,t163,t144,8.191405110316477
p20,t173,oft_steel5,2.2201050256949806
p20,t144,oft_steel4,8.191405110316477
p20,p20,t163,10.411510136011458
p20,t163,t173,2.2201050256949806
p21,t106,t94,12.989113614248204
p21,t94,oft_steel8,0.5008928170219491
p21,p21,t106,12.989113614248204
p21,t94,oft_steel9,12.488220797226255
p22,p22,oft_f8,3.178054692167745
p23,t144,oft_steel4,1.9999294608513978
p23,t146,t144,1.9999294608513978
p23,p23,t146,1.9999294608513978
p26,t127,oft_f4,6.393812411411907
p26,t67,t127,6.393812411411907
p26,t67,t94,6.696373727952234
p26,p26,t67,13.09018613936414
p26,t94,oft_steel9,6.696373727952234
p27,p27,oft_f3,4.668130564911448
p27,p27,oft_f2,0.1074734388654317
p28,p28,oft_f7,1.8189196297343215
p30,p30,oft_f11,2.8385453618845817
p31,p31,oft_f2,6.329060845507178
p31,p31,oft_f12,2.022131772712064
p32,t123,t127,2.674701833746668
p32,t127,oft_f4,2.674701833746668
p32,p32,t123,2.674701833746668
p34,t173,oft_steel5,6.53873116970974
p34,t80,t173,6.53873116970974
p34,p34,t80,6.53873116970974
p35,p35,t62,1.2364798231500023
p35,t62,t144,1.2364798231500023
p35,t144,oft_steel4,1.2364798231500023
p37,p37,oft_f8,2.4614732667860397
p39,p39,oft_f2,5.853688968934406
p42,p42,t1,3.1665012434411604
p42,p42,oft_f7,0.7575756801209943
p42,t1,t93,3.1665012434411604
p42,t93,oft_f6,3.1665012434411604
p43,t173,oft_steel5,4.491974373346309
p43,t163,t173,4.491974373346309
p43,p43,t163,4.491974373346309
p44,t173,oft_steel5,1.3078877607957955
p44,t153,t173,1.3078877607957955
p44,p44,t153,1.3078877607957955
p49,p49,oft_steel1,3.266507667719961
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,t80,24.690179605482058
pf5,t80,t69,24.690179605482058
pf5,t69,oft_steel7,24.690179605482058
pf17,pf17,oft_steel3,104.93326332329876
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf44,pf44,oft_ship144,290.12
pf44,t153,t37,7.15935335144098
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,7.15935335144098
pf49,pf49,oft_steel1,101.6667556555788
pf49,pf49,oft_steel2,104.93326332329876
pf49,pf49,oft_f1,6.772185576640781
