commodity,from_id,to_id,flow
p0,p0,oft_ship153,1.2442031941518172
p3,p3,oft_ship158,3.7959525005823074
p4,p4,oft_ship78,1.020737791818246
p5,p5,oft_ship76,8.272350516988043
p6,p6,oft_ship99,5.945167386818815
p7,p7,oft_ship61,6.257204935743715
p8,p8,oft_ship18,8.190366751549751
p9,p9,oft_ship154,4.824514893302491
p13,p13,oft_ship22,1.6141107061962705
p15,p15,oft_ship153,1.4493632146534117
p16,p16,oft_ship65,3.3105980453718913
p17,p17,oft_ship61,1.1474983745531995
p20,p20,oft_ship154,4.957861969529265
p22,p22,oft_ship78,1.5133593772227356
p23,p23,oft_ship137,0.9523473623101893
p26,p26,oft_ship74,6.2334219711257814
p28,p28,oft_ship25,0.8661522046353912
p30,p30,oft_ship76,1.3516882675640864
p31,p31,oft_ship65,3.9767583896282104
p34,p34,oft_ship76,3.1136815093855903
p35,p35,oft_ship60,0.5887999157857153
p37,p37,oft_ship78,1.1721301270409712
p39,p39,oft_ship65,2.787470937587812
p42,p42,oft_ship1,1.8686080588391212
p43,p43,oft_ship157,4.704304745718525
p44,p44,t153,0.6228036956170454
p44,t153,oft_ship144,0.6228036956170454
p46,p46,oft_ship159,1.3692989165223732
p49,p49,oft_ship61,1.55547984177141
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,oft_f9,10.73903002716147
pf5,pf5,t80,24.690179605482058
pf5,t80,t69,24.690179605482058
pf5,t69,oft_steel7,24.690179605482058
pf17,pf17,oft_steel3,104.93326332329876
pf17,pf17,oft_steel4,24.690179605482058
pf26,t127,oft_f4,9.068514245158575
pf26,t67,t127,9.068514245158575
pf26,t15,oft_f5,9.068514245158575
pf26,t93,oft_f6,9.068514245158575
pf26,t67,t93,9.068514245158575
pf26,t67,t15,9.068514245158575
pf26,t67,t94,67.89799391507566
pf26,pf26,t67,95.10353665055138
pf26,t94,oft_steel8,33.94899695753783
pf26,t94,oft_steel9,33.94899695753783
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_f7,5.966127792867484
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf31,pf31,oft_f10,3.9376443432925394
pf31,pf31,oft_f12,3.9376443432925394
pf31,pf31,oft_f11,3.9376443432925394
pf37,pf37,oft_f8,5.966127792867484
pf39,pf39,oft_f3,12.290223253307015
pf39,pf39,oft_f2,12.290223253307015
pf44,t173,oft_steel5,24.690179605482058
pf44,pf44,oft_ship144,553.5737643979859
pf44,t153,t37,7.15935335144098
pf44,t153,t173,24.690179605482058
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,31.84953295692304
pf49,pf49,oft_steel1,104.93326332329876
pf49,pf49,oft_steel2,104.93326332329876
pf49,pf49,oft_f1,12.290223253307015
