commodity,from_id,to_id,flow
p0,p0,oft_steel1,25.65620399303809
p1,p1,t25,2.9106401247158433
p1,t25,oft_steel10,2.9106401247158433
p3,t163,t144,24.690179605482058
p3,t173,oft_steel5,17.299189122004513
p3,t144,oft_steel4,24.690179605482058
p3,p3,t163,41.98936872748657
p3,t163,t173,17.299189122004513
p4,p4,oft_f8,2.2730348382323813
p5,t106,t147,10.7101871133517
p5,p5,t106,21.230670475179714
p5,t106,t107,10.520483361828013
p5,t107,oft_steel11,10.520483361828013
p5,t147,oft_steel2,10.7101871133517
p7,p7,oft_sh10,12.18504
p7,t18,t22,96.42200887080347
p7,t127,oft_f4,5.067904274572037
p7,t15,oft_f5,7.892549765691772
p7,p7,t18,171.38336098490493
p7,t18,t93,25.895474245158574
p7,t93,oft_f6,9.068514245158575
p7,t93,oft_sh6,16.82696
p7,t18,t15,7.892549765691772
p7,t147,oft_steel2,2.1564268711412637
p7,t18,t94,33.94899695753783
p7,t18,t147,2.1564268711412637
p7,t22,oft_sh1,96.42200887080347
p7,t94,oft_steel9,33.94899695753783
p7,t18,t127,5.067904274572037
p8,p8,oft_f10,3.9376443432925394
p8,p8,oft_f1,6.9515568828307615
p8,p8,oft_steel7,8.717526929168017
p8,p8,oft_steel6,19.71539679290186
p10,t54,t117,10.252930206450337
p10,t147,oft_sh2,10.73444
p10,t54,t147,76.04406648580431
p10,t54,t148,42.841196857672145
p10,t148,oft_steel3,42.841196857672145
p10,t26,oft_steel10,1.2031050296336052
p10,t147,oft_steel2,54.638320042528996
p10,t54,t26,1.2031050296336052
p10,t147,oft_sh5,10.671306443275304
p10,t117,oft_sh8,10.252930206450337
p10,p10,t54,130.3412985795604
p11,p11,t77,28.576795356900213
p11,t147,oft_steel2,28.576795356900213
p11,t77,t147,28.576795356900213
p13,p13,oft_f8,1.839366115896923
p14,p14,oft_steel12,1.4936307863857716
p16,p16,oft_sh1,4.019933468169714
p17,p17,oft_steel11,2.7924545250706005
p18,p18,t77,32.77645832563122
p18,t77,t22,32.77645832563122
p18,t22,oft_sh1,32.77645832563122
p19,t166,t144,16.24672
p19,t166,t148,5.569408204483498
p19,t166,t173,7.390990483477545
p19,t173,oft_steel5,7.390990483477545
p19,t144,oft_sh7,16.24672
p19,p19,t166,29.207118687961042
p19,t148,oft_steel3,5.569408204483498
p20,p20,oft_sh9,4.650237605463496
p21,p21,t80,20.000001348880716
p21,p21,oft_f11,3.9376443432925394
p21,p21,oft_steel7,15.972652676314041
p21,t148,oft_steel3,20.000001348880716
p21,t80,t148,20.000001348880716
p21,p21,oft_sh4,19.43804
p22,t84,t147,12.911696829021913
p22,p22,t84,12.911696829021913
p22,t147,oft_steel1,12.911696829021913
p22,p22,oft_f8,0.5300185422471078
p24,t162,t148,5.842393330121222
p24,p24,oft_steel12,10.851459016355257
p24,p24,t162,5.842393330121222
p24,t148,oft_steel3,5.842393330121222
p25,t23,oft_sh9,3.259516264331668
p25,t23,oft_steel10,11.317617099076838
p25,t23,oft_f7,5.966127792867484
p25,p25,t23,20.54326115627599
p28,t18,t120,25.530559999999998
p28,t127,oft_f4,4.000609970586538
p28,p28,t18,63.48016692812437
p28,t18,t94,33.94899695753783
p28,t94,oft_steel8,33.94899695753783
p28,t18,t127,4.000609970586538
p28,t120,oft_sh3,25.530559999999998
p29,p29,t110,2.590889884085436
p29,t147,oft_steel1,2.590889884085436
p29,t110,t147,2.590889884085436
p30,t15,oft_f5,1.1759644794668025
p30,t133,t15,1.1759644794668025
p30,p30,t133,1.1759644794668025
p32,p32,t153,4.543189793549662
p32,t153,t117,4.543189793549662
p32,t117,oft_sh8,4.543189793549662
p33,t107,oft_steel11,2.1184243665276727
p33,p33,t103,2.1184243665276727
p33,t103,t107,2.1184243665276727
p34,p34,oft_sh9,5.435766130204836
p37,p37,oft_f1,5.338666370476254
p37,p37,oft_f3,12.290223253307015
p37,p37,oft_f2,12.290223253307015
p38,p38,oft_f8,1.3237082964910714
p39,p39,oft_steel3,3.984481405706178
p40,p40,oft_steel6,4.974782812580198
p40,p40,oft_f12,3.9376443432925394
p41,t106,t147,8.186493556724697
p41,p41,t106,8.186493556724697
p41,t147,oft_sh5,8.186493556724697
p42,p42,t163,9.338547191527223
p42,t147,oft_steel1,9.338547191527223
p42,t163,t147,9.338547191527223
p43,p43,t53,8.94039933539562
p43,t22,oft_sh1,8.94039933539562
p43,t53,t22,8.94039933539562
p45,t106,t147,13.479009816293601
p45,p45,t106,13.479009816293601
p45,t147,oft_steel1,13.479009816293601
p47,p47,oft_f9,10.73903002716147
p47,p47,t80,67.65269778576749
p47,t80,t147,40.95691560933248
p47,t148,oft_steel3,26.695782176435003
p47,t80,t148,26.695782176435003
p47,t147,oft_steel1,40.95691560933248
p49,p49,t80,8.851533939376573
p49,t80,t147,8.851533939376573
p49,t147,oft_steel2,8.851533939376573
