node_id,demand,delivered,unmet,served_pct
oft_steel1,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel2,104.93326332329876,3.266507667719961,101.6667556555788,3.112938227848561
oft_steel3,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel4,24.690179605482058,24.690179605482058,0.0,100.0
oft_steel5,24.690179605482058,24.690179605482058,0.0,100.0
oft_steel6,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel7,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel8,33.94899695753783,33.94899695753783,0.0,100.0
oft_steel9,33.94899695753783,33.94899695753783,0.0,100.0
oft_steel10,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel11,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel12,12.345089802741029,0.0,12.345089802741029,0.0
oft_f1,12.290223253307015,5.518037676666235,6.772185576640781,44.897782269182606
oft_f2,12.290223253307015,12.290223253307015,0.0,100.0
oft_f3,12.290223253307015,12.290223253307015,0.0,100.0
oft_f4,9.068514245158575,9.068514245158575,0.0,100.0
oft_f5,9.068514245158575,9.068514245158575,0.0,100.0
oft_f6,9.068514245158575,9.068514245158575,0.0,100.0
oft_f7,5.966127792867484,5.966127792867484,0.0,100.0
oft_f8,5.966127792867484,5.966127792867484,0.0,100.0
oft_f9,10.73903002716147,10.73903002716147,0.0,99.99999999999999
oft_f10,3.9376443432925394,3.9376443432925394,0.0,100.0
oft_f11,3.9376443432925394,3.9376443432925394,0.0,100.0
oft_f12,3.9376443432925394,3.9376443432925394,0.0,100.0
oft_f13,7.15935335144098,0.0,7.15935335144098,0.0
