commodity,from_id,to_id,flow
p3,p3,t167,3.7959525005823074
p3,t93,oft_f6,3.7959525005823074
p3,t167,t93,3.7959525005823074
p4,t127,oft_f4,1.020737791818246
p4,p4,t84,1.020737791818246
p4,t84,t127,1.020737791818246
p8,t15,oft_f5,0.27615231399855844
p8,t18,t15,0.27615231399855844
p8,p8,t18,0.27615231399855844
p17,t63,t93,1.1474983745531995
p17,p17,t63,1.1474983745531995
p17,t93,oft_f6,1.1474983745531995
p22,t127,oft_f4,1.5133593772227356
p22,t84,t127,1.5133593772227356
p22,p22,t84,1.5133593772227356
p23,t127,oft_f4,0.9523473623101893
p23,t146,t127,0.9523473623101893
p23,p23,t146,0.9523473623101893
p26,t127,oft_f4,1.6357058389301309
p26,t67,t127,1.6357058389301309
p26,t15,oft_f5,4.59771613219565
p26,t67,t15,4.59771613219565
p26,p26,t67,6.2334219711257814
p28,t127,oft_f4,0.8661522046353912
p28,t26,t127,0.8661522046353912
p28,p28,t26,0.8661522046353912
p31,t68,t93,3.9767583896282104
p31,p31,t68,3.9767583896282104
p31,t93,oft_f5,3.9767583896282104
p35,p35,t62,0.5887999157857153
p35,t127,oft_f4,0.5887999157857153
p35,t62,t127,0.5887999157857153
p39,t68,t93,2.787470937587812
p39,t93,oft_f6,2.5695835282516573
p39,t93,oft_f5,0.2178874093361549
p39,p39,t68,2.787470937587812
p42,p42,t1,1.8686080588391212
p42,t127,oft_f4,1.8686080588391212
p42,t1,t127,1.8686080588391212
p44,t127,oft_f4,0.6228036956170454
p44,t153,t127,0.6228036956170454
p44,p44,t153,0.6228036956170454
p49,t63,t93,1.55547984177141
p49,t93,oft_f6,1.55547984177141
p49,p49,t63,1.55547984177141
pf0,pf0,oft_steel12,12.345089802741029
pf5,pf5,oft_f9,10.73903002716147
pf17,pf17,oft_steel3,104.93326332329876
pf17,pf17,oft_steel4,24.690179605482058
pf26,t67,t94,67.89799391507566
pf26,pf26,t67,67.89799391507566
pf26,t94,oft_steel8,33.94899695753783
pf26,t94,oft_steel9,33.94899695753783
pf28,pf28,oft_steel11,15.431362253426286
pf28,pf28,oft_f7,5.966127792867484
pf28,pf28,oft_steel10,15.431362253426286
pf31,pf31,oft_steel6,24.690179605482058
pf31,pf31,oft_steel7,24.690179605482058
pf31,pf31,oft_f10,3.9376443432925394
pf31,pf31,oft_f12,3.9376443432925394
pf31,pf31,oft_f11,3.9376443432925394
pf37,pf37,oft_f8,5.966127792867484
pf39,pf39,oft_f3,12.290223253307015
pf39,pf39,oft_f2,12.290223253307015
pf44,t173,oft_steel5,24.690179605482058
pf44,pf44,oft_ship144,290.12
pf44,t153,t37,7.15935335144098
pf44,t153,t173,24.690179605482058
pf44,t37,oft_f13,7.15935335144098
pf44,pf44,t153,31.84953295692304
pf49,pf49,oft_steel1,104.93326332329876
pf49,pf49,oft_steel2,104.93326332329876
pf49,pf49,oft_f1,12.290223253307015
