commodity,from_id,to_id,flow
p0,p0,oft_steel12,0.05529791974008076
p1,p1,oft_steel7,0.02793714024075958
p2,t34,t8,0.3434105281016822
p2,t8,oft_steel12,0.3434105281016822
p2,p2,t34,0.3434105281016822
p3,t173,oft_steel5,0.16870900002588032
p3,t167,t173,0.16870900002588032
p3,p3,t167,0.16870900002588032
p4,t107,oft_steel11,0.045366124080810935
p4,p4,t164,0.045366124080810935
p4,t164,t107,0.045366124080810935
p5,p5,oft_f9,0.3676600229772463
p6,t106,t8,0.2642296616363918
p6,t8,oft_steel12,0.2642296616363918
p6,p6,t106,0.2642296616363918
p7,p7,oft_f3,0.2780979971441651
p8,t18,t93,0.36401630006887786
p8,t93,oft_f6,0.36401630006887786
p8,p8,t18,0.36401630006887786
p9,p9,t163,0.2144228841467774
p9,t173,oft_steel5,0.2144228841467774
p9,t163,t173,0.2144228841467774
p10,p10,t87,0.11149628929210972
p10,t87,t8,0.11149628929210972
p10,t8,oft_steel12,0.11149628929210972
p11,t49,t93,0.4713901683946628
p11,t93,oft_f6,0.4713901683946628
p11,p11,t49,0.4713901683946628
p12,p12,t54,0.2611577186656639
p12,t107,oft_steel11,0.2611577186656639
p12,t54,t107,0.2611577186656639
p13,t23,t107,0.07173825360872313
p13,p13,t23,0.07173825360872313
p13,t107,oft_steel11,0.07173825360872313
p14,t34,t8,0.0816292519639461
p14,p14,t34,0.0816292519639461
p14,t8,oft_steel12,0.0816292519639461
p15,p15,oft_steel12,0.06441614287348496
p16,p16,oft_f10,0.1471376909054174
p17,p17,oft_steel3,0.05099992775791998
p18,t107,oft_steel11,0.06507733064784765
p18,p18,t54,0.06507733064784765
p18,t54,t107,0.06507733064784765
p19,t64,t107,0.46209872288921033
p19,p19,t64,0.46209872288921033
p19,t107,oft_steel11,0.46209872288921033
p20,t173,oft_steel5,0.22034942086796735
p20,p20,t163,0.22034942086796735
p20,t163,t173,0.22034942086796735
p21,t106,t8,0.2749018754338244
p21,t8,oft_steel12,0.2749018754338244
p21,p21,t106,0.2749018754338244
p22,t84,t107,0.06726041676545491
p22,t107,oft_steel11,0.06726041676545491
p22,p22,t84,0.06726041676545491
p23,p23,oft_f13,0.042326549436008415
p24,p24,t34,0.4907063220126224
p24,t34,t8,0.4907063220126224
p24,t8,oft_steel12,0.4907063220126224
p25,p25,t165,0.032056306347240514
p25,t165,t148,0.032056306347240514
p25,t148,oft_steel3,0.032056306347240514
p26,p26,oft_f9,0.2770409764944792
p27,p27,oft_f10,0.1010709842069181
p28,p28,oft_steel10,0.03849565353935072
p30,p30,oft_f10,0.0600750341139594
p31,p31,oft_f10,0.17674481731680936
p32,p32,oft_steel12,0.05660744621686069
p33,t78,t107,0.13158050192560372
p33,t107,oft_steel11,0.13158050192560372
p33,p33,t78,0.13158050192560372
p34,p34,oft_f9,0.13838584486158179
p35,p35,t19,0.026168885146031794
p35,t173,oft_steel5,0.026168885146031794
p35,t19,t173,0.026168885146031794
p36,t34,t8,0.3554092991758384
p36,p36,t34,0.3554092991758384
p36,t8,oft_steel12,0.3554092991758384
p37,p37,oft_f8,0.05209467231293206
p38,t107,oft_steel11,0.07029722036419936
p38,t72,t107,0.07029722036419936
p38,p38,t72,0.07029722036419936
p39,p39,oft_f3,0.12388759722612498
p40,t107,oft_steel11,0.10492273287889828
p40,t54,t107,0.10492273287889828
p40,p40,t54,0.10492273287889828
p41,t34,t8,0.07268292491195825
p41,t8,oft_steel12,0.07268292491195825
p41,p41,t34,0.07268292491195825
p42,t107,oft_steel11,0.0830492470595165
p42,p42,t164,0.0830492470595165
p42,t164,t107,0.0830492470595165
p43,t166,t173,0.20908021092082332
p43,t173,oft_steel5,0.20908021092082332
p43,p43,t166,0.20908021092082332
p44,p44,oft_steel1,0.027680164249646463
p45,t78,t107,0.4609903295753658
p45,t107,oft_steel11,0.4609903295753658
p45,p45,t78,0.4609903295753658
p46,t173,oft_steel5,0.06085772962321659
p46,p46,t168,0.06085772962321659
p46,t168,t173,0.06085772962321659
p47,p47,oft_steel12,0.13437019063780173
p48,p48,t79,0.0921803728513659
p48,t107,oft_steel11,0.0921803728513659
p48,t79,t107,0.0921803728513659
p49,p49,oft_steel3,0.06913243741206267
